"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr"
"1","ENSG00000075624",8.06109355226153e-18,-0.91144467299738,-0.718654413659021,-1.10423493233574,2.74963901067641e-14
"2","ENSG00000067225",2.15678415627401e-17,-1.06476879518954,-0.830045737142027,-1.29949185323705,3.67839537852533e-14
"3","ENSG00000137309",1.16008551369237e-16,-1.88210964307219,-1.4272665839356,-2.33695270220879,1.31901722906822e-13
"4","ENSG00000134333",2.2494554990715e-15,-0.923082133983247,-0.704793608431564,-1.14137065953493,1.91822317683322e-12
"5","ENSG00000163507",2.37427487153882e-14,-3.30375003876453,-2.38909300085282,-4.21840707667624,1.61973031736378e-11
"6","ENSG00000143368",1.75218850248566e-13,-1.79745462009201,-1.3450839103828,-2.24982532980122,9.961191636631e-11
"7","ENSG00000109971",3.14479670639567e-13,-1.06726043278787,-0.806749637963142,-1.3277712276126,1.53241450935938e-10
"8","ENSG00000122952",5.66567524325876e-13,-1.99524274621966,-1.38460640001885,-2.60587909242047,2.41570228184446e-10
"9","ENSG00000105011",7.56003882776663e-13,-3.24585502391846,-2.32574560496423,-4.1659644428727,2.86525471572355e-10
"10","ENSG00000116761",2.92843346606212e-12,3.29408553537524,4.0734845628179,2.51468650793258,9.98888655273789e-10
"11","ENSG00000108953",7.46337768562993e-12,-0.799605515829795,-0.595927428640511,-1.00328360301908,2.31432557142579e-09
"12","ENSG00000128965",8.20880263432454e-12,3.00302229793028,3.67012450981412,2.33592008604644,2.33335214880675e-09
"13","ENSG00000100473",1.06697312037673e-11,-1.63497774339773,-1.21244686794761,-2.05750861884784,2.79957331815771e-09
"14","ENSG00000132646",1.74564305548904e-11,-1.73455365817316,-1.28786966399202,-2.18123765235431,4.25313461590936e-09
"15","ENSG00000135744",4.65390604326449e-11,-1.10843851254232,-0.805258438658185,-1.41161858642646,1.05363256576265e-08
"16","ENSG00000166165",4.94228116452725e-11,-0.945597146951325,-0.678735819460403,-1.21245847444225,1.05363256576265e-08
"17","ENSG00000101367",8.52638852356353e-11,-0.904286546407731,-0.650754125782722,-1.15781896703274,1.53071111862501e-08
"18","ENSG00000108960",8.15989568917188e-11,-1.24473100565153,-0.895031291815168,-1.5944307194879,1.53071111862501e-08
"19","ENSG00000136450",8.15727818477306e-11,-1.40882040726869,-0.979703983757929,-1.83793683077946,1.53071111862501e-08
"20","ENSG00000126457",1.0411764443519e-10,-0.76854316594507,-0.561879497238297,-0.975206834651844,1.77572642584217e-08
"21","ENSG00000117632",1.20358255767684e-10,-0.771774453725865,-0.553607832498661,-0.989941074953068,1.95496195439796e-08
"22","ENSG00000135821",1.34638831835975e-10,-1.01809463348968,-0.737877375820054,-1.29831189115931,2.08751388814777e-08
"23","ENSG00000099956",2.68787877028889e-10,-0.859175907606481,-0.616705818951502,-1.10164599626146,3.98624108063278e-08
"24","ENSG00000065328",3.84823353255438e-10,-3.27118746445862,-2.27406863070019,-4.26830629821705,5.44168498082604e-08
"25","ENSG00000143799",3.98833551804899e-10,-0.926816085262569,-0.664491694473539,-1.1891404760516,5.44168498082604e-08
"26","ENSG00000071539",4.22440453079717e-10,-2.72214553643587,-1.84722538146886,-3.59706569140289,5.54209379021121e-08
"27","ENSG00000105568",4.53750108978452e-10,-0.866197655822578,-0.619593154100827,-1.11280215754433,5.73237637676111e-08
"28","ENSG00000067064",5.09870082150686e-10,-0.977475688501219,-0.694863178072356,-1.26008819893008,6.21131017934282e-08
"29","ENSG00000104738",5.52096800994319e-10,-2.38409117633884,-1.62817216451212,-3.14001018816556,6.47865345680692e-08
"30","ENSG00000130726",5.69802414846695e-10,-0.865765568992774,-0.581106838759632,-1.15042429922592,6.47865345680692e-08
"31","ENSG00000112118",8.01585869779051e-10,-1.59302214597769,-1.13579999686091,-2.05024429509448,8.67112527206692e-08
"32","ENSG00000131238",8.13474080053185e-10,-1.05469463026702,-0.738379236022708,-1.37101002451133,8.67112527206692e-08
"33","ENSG00000076248",9.56075077186243e-10,-1.66682077692825,-0.927832585809317,-2.40580896804719,9.59168261259493e-08
"34","ENSG00000117419",9.30861983046919e-10,-1.24959299043632,-0.749880096816692,-1.74930588405595,9.59168261259493e-08
